date,rank
2013-04-25,3
2013-05-10,2
2013-05-25,2
2013-10-18,2
2013-11-03,1
2014-04-15,4
2014-04-29,2
2014-10-08,4
2014-10-23,3
2015-03-20,1
2015-04-04,4
2015-09-13,3
2015-09-28,4
2016-03-09,1
2016-03-23,2
2016-09-01,2
2016-09-16,2
2017-02-11,2
2017-02-26,2
2017-08-07,3
2017-08-21,1
2018-01-31,4
2018-02-15,3
2018-07-13,3
2018-07-27,4
2018-08-11,3
2019-01-06,3
2019-01-21,4
2019-07-02,1
2019-07-16,3
2019-12-26,2
2020-01-10,2
2020-06-05,2
2020-06-21,2
2020-07-05,2
2020-11-30,2
2020-12-14,1
2021-05-26,4
2021-06-10,2
2021-11-19,3
2021-12-04,1
2022-04-30,3
2022-05-16,4
2022-10-25,3
2022-11-08,4
2023-04-20,1
2023-05-05,2
